keyword,class,category,industry
work with others,Collaboration,,
pointing out the problem,Collaboration,,
shares * experience with *,Collaboration,,
share * idea (AND) knowledge to others,Collaboration,,
initiative to let others know,Collaboration,,
collaborate with other team member,Collaboration,,
listen to suggestion,Collaboration,,
share * idea (AND) help other people,Collaboration,,
ask for other's opinion,Collaboration,,
good team work spirit,Collaboration,,
seek clarification,Collaboration,,
ask other people opinion,Collaboration,,
give * reason why * has such * idea,Collaboration,,
share * knowledge with * colleague,Collaboration,,
speaks with others,Collaboration,,
give * feedback,Collaboration,,
openness about * idea,Collaboration,,
work in harmony with the rest,Collaboration,,
share responsibilities with other team members,Collaboration,,
shown team spirit,Collaboration,,
team working.,Collaboration,,
whenever team needed he is there for to help them,Collaboration,,
cooperative,Collaboration,,
seek others help when needed,Collaboration,,
clarify before starting the * work,Collaboration,,
working fine with his partner,Collaboration,,
working as a team,Collaboration,,
update others as needed,Collaboration,,
High collaboration within member,Collaboration,,
easy to communicate,Collaboration,,
coordinate to each others,Collaboration,,
listen (AND) give * opinion,Collaboration,,
communicate clearly,Collaboration,,
contributes to the decision making,Collaboration,,
listen to instruction,Collaboration,,
ask for feedback,Collaboration,,
discuss with peers on things that require inputs,Collaboration,,
collaborative team members,Collaboration,,
willing to help others,Collaboration,,
give input during brainstorming ideas,Collaboration,,
work together with other colleague,Collaboration,,
give constructive suggestion,Collaboration,,
raise out possible issue,Collaboration,,
suggest (AND) giving opinion,Collaboration,,
works well with team mates,Collaboration,,
team driven person,Collaboration,,
easy to work with,Collaboration,,
gets along well with everyone,Collaboration,,
give suggestions (AND) help others when needed,Collaboration,,
confront people directly to solve problem,Collaboration,,
Work well in group,Collaboration,,
Work well with others.,Collaboration,,
Work well with people,Collaboration,,
Works well with his peers.,Collaboration,,
good rapo,Collaboration,,
interacting with his team members,Collaboration,,
doesn't shy away from responsibility,Collaboration,,
listen (AND) discuss with others,Collaboration,,
efficient in working with a team,Collaboration,,
work quite well with the team,Collaboration,,
provide his idea (AND) suggest during making decision,Collaboration,,
shares his ideas (AND) opinions,Collaboration,,
collaborating well with other developer.,Collaboration,,
helps others (AND) provides with valuable thoughts,Collaboration,,
provides input,Collaboration,,
sharing * decision,Collaboration,,
have peer discussion,Collaboration,,
share * view (AND) knowledge,Collaboration,,
share more on his opinion,Collaboration,,
update the group on his progression,Collaboration,,
provide suggestion in a team,Collaboration,,
helpful,Collaboration,,
nice to work with *,Collaboration,,
good mentor,Develops People,,
provide a good suggestions,Develops People,,
point out mistakes,Develops People,,
encouraging (AND) care for others,Develops People,,
share * views,Develops People,,
encourage developers,Develops People,,
give * insight,Develops People,,
making sure everyone around * understands,Develops People,,
regularly checks up on people,Develops People,,
encourages * progress,Develops People,,
Good foundation on *,Technical Foundation,,
Able to study (AND) implement,Apply New Learning,,
Know the basic knowledge on coding standard,Technical Foundation,,
finish task without much * help,Technical Foundation,,
Able to work quickly,Technical Foundation,,
sufficient foundation to perform,Technical Foundation,,
Able to write working code,Technical Foundation,,
knowing the implementation method,Technical Foundation,,
"basic in programming, web scrapping (AND) web development",Technical Foundation,,
technical skill,Technical Foundation,,
technical knowledge,Technical Foundation,,
have * technical foundation in *,Technical Foundation,,
work on his own (NEAR) on * development,Technical Foundation,,
enough skill (AND) knowledge to fit the job,Technical Foundation,,
got the expectation skill (AND) knowledge,Technical Foundation,,
relevant skill to complete * task,Technical Foundation,,
basic mobile development,Technical Foundation,,
good in * skills,Technical Foundation,,
strength is on the * area,Technical Foundation,,
Strong basic in *.,Technical Foundation,,
awareness of delay impact,Sense of Urgency,,
priotirizing tasks to fit the time line,Sense of Urgency,,
work (NEAR) if there is urgent,Sense of Urgency,,
make things done on time,Sense of Urgency,,
understands the priority of * issue,Sense of Urgency,,
understand the impact on the customer,Sense of Urgency,,
complete tasks by deadline,Sense of Urgency,,
proper scheduling,Sense of Urgency,,
make work done as soon as possible,Sense of Urgency,,
like to delay,Sense of Urgency,,
not to delay,Sense of Urgency,,
make sure * work done on time,Sense of Urgency,,
deliver the solutions without any delay,Sense of Urgency,,
plan the things according to priority,Sense of Urgency,,
understand the importance (AND) urgency,Sense of Urgency,,
arrange the risk of implement,Sense of Urgency,,
prioritize the module deployment,Sense of Urgency,,
sense of urgency (AND) impact of any delay,Sense of Urgency,,
overcome issues which causes delay,Sense of Urgency,,
keep track of projects (AND) timeline,Sense of Urgency,,
delay tasks,Sense of Urgency,,
prioritize to deliver on time.,Sense of Urgency,,
Tasks are scheduled by priority,Sense of Urgency,,
remind him for complete his task,Sense of Urgency,,
understands the impact of delay,Sense of Urgency,,
good awareness of urgency,Sense of Urgency,,
set the QAT date in earlier,Sense of Urgency,,
complete task * need to be rushed,Sense of Urgency,,
willing to work around the clock (AND) get * done,Sense of Urgency,,
know the urgency,Sense of Urgency,,
complete the testing before deadline,Sense of Urgency,,
prioritize the task,Sense of Urgency,,
analyze the impact clearly,Sense of Urgency,,
arrange task based on priority,Sense of Urgency,,
understand the urgent of matter,Sense of Urgency,,
give more importance to urgency of work,Sense of Urgency,,
get done according to timeline,Sense of Urgency,,
help up the urgent request,Sense of Urgency,,
method to handle the urgent matters,Sense of Urgency,,
understand the urgency of the project,Sense of Urgency,,
miss * due date,Sense of Urgency,,
seek for the shortest time to solve the problems,Sense of Urgency,,
lack of follow up,Sense of Urgency,,
offer help as soon as possible,Sense of Urgency,,
settled within the time spent given,Sense of Urgency,,
resolve on time.,Sense of Urgency,,
sense (NEAR) priority issue,Sense of Urgency,,
prioritize the most important task,Sense of Urgency,,
completed within timeline given.,Sense of Urgency,,
open to give (AND) received feedback,Communications Skills,,
open-minded to receive any feedback,Communications Skills,,
giving useful feedback,Communications Skills,,
listening (AND) provide solutions,Communications Skills,,
open to negotiation,Communications Skills,,
listen * provide * solution,Communications Skills,,
listen (AND) give * feedback,Communications Skills,,
listen (AND) open to * input,Communications Skills,,
easy to talk to,Communications Skills,,
listened (AND) before * give comment,Communications Skills,,
provide * feedback (AND) listen,Communications Skills,,
open (AND) give * feedback,Communications Skills,,
did well in negotiating,Communications Skills,,
discuss (AND) negotiate,Communications Skills,,
blow out matter into complicated issues,Communications Skills,,
clarify complicated ideas,Communications Skills,,
listen (AND) follow,Communications Skills,,
good accent,Communications Skills,,
explain clearly,Communications Skills,,
good (AND) easy-going person to communicate,Communications Skills,,
interacting with *,Communications Skills,,
ensure no communication barriers,Communications Skills,,
listen (AND) before making decision,Communications Skills,,
provide * point of view,Communications Skills,,
openess,Communications Skills,,
Influence people,Communications Skills,,
communicate,Communications Skills,,
giving constructive feedback (AND) negotiation,Communications Skills,,
talk clearly,Communications Skills,,
open for question,Communications Skills,,
listen,Communications Skills,,
Listened to explanation,Communications Skills,,
uses simple words,Communications Skills,,
gives feedback from user point of view,Communications Skills,,
speaks directly to the topic,Communications Skills,,
Good mediator,Communications Skills,,
Communicate with proper tone of voice,Communications Skills,,
comment,Communications Skills,,
speaking skill is straight to the point,Communications Skills,,
choice of word,Communications Skills,,
Lack of communication,Communications Skills,,
explain things clearly,Communications Skills,,
convince people,Communications Skills,,
listening skill,Communications Skills,,
Listen first before (NEAR) feedback,Communications Skills,,
criticism,Communications Skills,,
great speaker,Communications Skills,,
provide * feedback in manner way,Communications Skills,,
Openness,Communications Skills,,
understand (AND) before * comment,Communications Skills,,
the way of delivering a message,Communications Skills,,
clear misunderstanding,Communications Skills,,
Pay attention during conversation,Communications Skills,,
Prompt response,Communications Skills,,
Open up to suggestions,Communications Skills,,
Presentation,Communications Skills,,
deliver message clearly,Communications Skills,,
good listener (AND) give ideas,Communications Skills,,
straightforward in giving * opinion,Communications Skills,,
developing * staff,Leadership Skills,,
describe the situation properly,Communications Skills,,
share * problems,Communications Skills,,
tone of * communication,Communications Skills,,
understands the problem,Communications Skills,,
give instructions clearly,Communications Skills,,
Soft spoken,Communications Skills,,
Straight to the point,Communications Skills,,
use of jargon,Communications Skills,,
handling conflicts,Communications Skills,,
resolving unhealthy situations,Communications Skills,,
communicate clearly,Communications Skills,,
creative,Creativity Skills,,
look at an idea from different point of view,Creativity Skills,,
think from the user perspective,Creativity Skills,,
identify the problems accurately,Creativity Skills,,
foresee issues,Creativity Skills,,
awareness to problem,Creativity Skills,,
identify the critical issues,Creativity Skills,,
find not ordinary solution,Creativity Skills,,
ability to structure (AND) coming up with solution,Creativity Skills,,
find varies way to solve problems,Creativity Skills,,
thinking proactively,Creativity Skills,,
provide (NEAR) workaround,Creativity Skills,,
see thing in a different way,Creativity Skills,,
identify pattern,Creativity Skills,,
involve the whole team in decision making.,Leadership Skills,,
Provide ownership,Leadership Skills,,
ensure tasks being delegated,Leadership Skills,,
advice to team member,Leadership Skills,,
critical decision making,Leadership Skills,,
giving direction,Leadership Skills,,
example for others,Leadership Skills,,
guiding junior,Leadership Skills,,
spread (NEAR) mindset,Leadership Skills,,
caring,Leadership Skills,,
Taking responsibilities,Leadership Skills,,
willing to admit,Leadership Skills,,
powerful leader,Leadership Skills,,
make right decision,Leadership Skills,,
coaching non performer,Leadership Skills,,
responsible,Leadership Skills,,
Takes ownership,Leadership Skills,,
pushing team members,Leadership Skills,,
develop team members,Leadership Skills,,
delegate task to teammate,Leadership Skills,,
assign resources,Leadership Skills,,
good mentor,Leadership Skills,,
delegate tasks to the members,Leadership Skills,,
guide the team,Leadership Skills,,
lead * group,Leadership Skills,,
guide teams,Leadership Skills,,
understand situations (AND) make the right decisions,Leadership Skills,,
compromise,Leadership Skills,,
make * decisions,Leadership Skills,,
provide a clear direction,Leadership Skills,,
provide the resources,Leadership Skills,,
run * team,Leadership Skills,,
experience (AND) wisdom in handling difficult situations,Leadership Skills,,
Assigns work fairly,Leadership Skills,,
resolves disputes,Leadership Skills,,
Available when needed,Leadership Skills,,
has an open door policy for subordinates,Leadership Skills,,
Can be counted on,Leadership Skills,,
diplomatic,Leadership Skills,,
bring a along the team,Leadership Skills,,
lead the team,Leadership Skills,,
emphasizes the importance of teamwork,Leadership Skills,,
bonding employees together,Leadership Skills,,
sense of ownership,Leadership Skills,,
lead teammate,Leadership Skills,,
set an example,Leadership Skills,,
people willing to follow,Leadership Skills,,
willing to develop people,Leadership Skills,,
working together,Leadership Skills,,
delegate task equally,Leadership Skills,,
allow * to handle things,Leadership Skills,,
innovation management,Leadership Skills,,
coordination with other,Leadership Skills,,
delegate work to * team,Leadership Skills,,
break down * task (AND) delegate,Leadership Skills,,
project (NEAR) handle,Leadership Skills,,
direct *,Leadership Skills,,
giving command,Leadership Skills,,
managing people,Leadership Skills,,
coordination skill,Leadership Skills,,
giving step by step on how,Leadership Skills,,
Reliable,Leadership Skills,,
capabilities to guide,Leadership Skills,,
setting example,Leadership Skills,,
Develops a winning attitude among * employees,Leadership Skills,,
demonstrate * leadership,Leadership Skills,,
give enough access to resources,Leadership Skills,,
jumped (NEAR) conclusion,Communications Skills,,
break the ice,Communications Skills,,
suggestion,Communications Skills,,
guide (NEAR) solution,Communications Skills,,
blow out matter,Communications Skills,,
clarify,Communications Skills,,
share (NEAR) experience,Communications Skills,,
listen (NEAR) thoughts,Communications Skills,,
networking skills,Communications Skills,,
listen (NEAR) explanation,Communications Skills,,
jump to conclusion,Communications Skills,,
contribute (NEAR) view,Communications Skills,,
communication skills,Communications Skills,,
interpersonal skills,Communications Skills,,
listen to other,Communications Skills,,
constructive criticism,Communications Skills,,
honest comment,Communications Skills,,
evaluate (NEAR) feedback,Communications Skills,,
discussion,Communications Skills,,
open to feedback,Communications Skills,,
underst(AND) (NEAR) situation,Communications Skills,,
pay attention,Communications Skills,,
ask (AND) discuss,Communications Skills,,
communicator,Communications Skills,,
delivery message,Communications Skills,,
open for feedback,Communications Skills,,
open to comment,Communications Skills,,
dealing (NEAR) user,Communications Skills,,
approach (NEAR) advice,Communications Skills,,
listen (NEAR) inquiries,Communications Skills,,
learn (NEAR) listen,Communications Skills,,
attentive listener,Communications Skills,,
share * problem,Communications Skills,,
hearing (AND) feedback,Communications Skills,,
give suggestion,Communications Skills,,
accept comment,Communications Skills,,
provide (NEAR) alternative,Communications Skills,,
documentation,Communications Skills,,
willing to listen,Communications Skills,,
seek out * view,Communications Skills,,
speak up,Communications Skills,,
tone (NEAR) communication,Communications Skills,,
listen to opinion,Communications Skills,,
gels well,Communications Skills,,
influencer,Communications Skills,,
accept others,Communications Skills,,
speak clearly,Communications Skills,,
dealing with others,Communications Skills,,
straightforward,Communications Skills,,
straightforward (NEAR) feedback,Communications Skills,,
easy to understand,Communications Skills,,
comfortable (NEAR) question,Communications Skills,,
give (NEAR) feedback,Communications Skills,,
proper feedback,Communications Skills,,
intermediator,Communications Skills,,
unclear messages,Communications Skills,,
unclear (NEAR) instruction,Communications Skills,,
use (NEAR) jargon,Communications Skills,,
deal with people,Communications Skills,,
customer (NEAR) handling,Communications Skills,,
speak to the point,Communications Skills,,
handling conflict,Communications Skills,,
resolving (NEAR) situation,Communications Skills,,
conflicting advice,Communications Skills,,
good relationship,Communications Skills,,
open for ideas,Communications Skills,,
accept * new idea,Communications Skills,,
open * suggestion,Communications Skills,,
emphatic listen,Communications Skills,,
willing * teach,Communications Skills,,
straight forward,Communications Skills,,
share (AND) opinion,Communications Skills,,
encourage * initiative,Creativity Skills,,
innovative ideas,Creativity Skills,,
relate * connection * issue,Creativity Skills,,
creative thinking * work,Creativity Skills,,
finding way * solve,Creativity Skills,,
solve * problem * calm,Creativity Skills,,
solve * problem * effectively,Creativity Skills,,
solve * problem * quickly,Creativity Skills,,
creative solutions,Creativity Skills,,
different approach * work,Creativity Skills,,
good example set,Leadership Skills,,
develop * potential * team,Leadership Skills,,
strengthen * team,Leadership Skills,,
do good decision,Leadership Skills,,
good examples,Leadership Skills,,
sharing * knowledge,Leadership Skills,,
decision making,Leadership Skills,,
developing people,Leadership Skills,,
make decision fast,Leadership Skills,,
train * team members,Leadership Skills,,
developing successor,Leadership Skills,,
observing his leadership,Leadership Skills,,
setting examples,Leadership Skills,,
task delegation,Leadership Skills,,
motivate others,Leadership Skills,,
provide help,Leadership Skills,,
developing others,Leadership Skills,,
good example,Leadership Skills,,
leading skills,Leadership Skills,,
teach junior,Leadership Skills,,
making decision,Leadership Skills,,
guide * juniors,Leadership Skills,,
helping us,Leadership Skills,,
help others,Leadership Skills,,
inspiring * team,Leadership Skills,,
guided me,Leadership Skills,,
share * knowledge,Leadership Skills,,
leadership skill,Leadership Skills,,
giving * opportunity * learn,Leadership Skills,,
good decision,Leadership Skills,,
team work,Leadership Skills,,
lead us,Leadership Skills,,
developing * team members,Leadership Skills,,
develop others,Leadership Skills,,
role model,Leadership Skills,,
provide guidance,Leadership Skills,,
help teammates,Leadership Skills,,
lead effectively,Leadership Skills,,
help people grow,Leadership Skills,,
develop other,Leadership Skills,,
leader,Leadership Skills,,
develop the subordinate,Leadership Skills,,
provide training * others,Leadership Skills,,
share his experience,Leadership Skills,,
lead a team,Leadership Skills,,
leadership,Leadership Skills,,
leading * team,Leadership Skills,,
help other people,Leadership Skills,,
set a good example,Leadership Skills,,
receptive (NEAR) ideas,Leadership Skills,,
giving * direction to others,Leadership Skills,,
share * experience,Leadership Skills,,
allow others * try,Leadership Skills,,
develop themselves,Leadership Skills,,
took * responsibility,Leadership Skills,,
delegate to developers,Leadership Skills,,
total trust,Leadership Skills,,
delegating * task,Leadership Skills,,
guide you,Leadership Skills,,
delegate * decision making,Leadership Skills,,
take responsibilities,Leadership Skills,,
trust in the team,Leadership Skills,,
listen to other people,Leadership Skills,,
ready to help,Leadership Skills,,
reliable person,Leadership Skills,,
look up to him,Leadership Skills,,
responsibilities assigned * subordinates,Leadership Skills,,
delegation,Leadership Skills,,
develop * team member,Leadership Skills,,
encourage employees,Leadership Skills,,
leadership role model,Leadership Skills,,
decision making skills,Leadership Skills,,
teach * teammates,Leadership Skills,,
rightful decision,Leadership Skills,,
role figure,Leadership Skills,,
assist others,Leadership Skills,,
setting good example,Leadership Skills,,
decision * made,Leadership Skills,,
trustworthy,Leadership Skills,,
lead * us,Leadership Skills,,
take ownership,Leadership Skills,,
take lead,Leadership Skills,,
make * decision,Leadership Skills,,
guide people,Leadership Skills,,
delegate,Leadership Skills,,
good role model,Leadership Skills,,
delegate tasks,Leadership Skills,,
lead team member,Leadership Skills,,
leading by example,Leadership Skills,,
guidance,Leadership Skills,,
make decision,Leadership Skills,,
develop subordinate,Leadership Skills,,
delegating tasks,Leadership Skills,,
make * work together,Leadership Skills,,
managing * team,Leadership Skills,,
train others,Leadership Skills,,
drive * team,Leadership Skills,,
provide example,Leadership Skills,,
coaching,Leadership Skills,,
team-oriented,Leadership Skills,,
coach newcomer,Leadership Skills,,
mentoring,Leadership Skills,,
set * standard,Leadership Skills,,
set * example,Leadership Skills,,
set examples,Leadership Skills,,
share * decision making,Leadership Skills,,
delegate * role,Leadership Skills,,
giving *opportunity,Leadership Skills,,
delegate the tasks,Leadership Skills,,
give * chance to improve,Leadership Skills,,
team spirit,Leadership Skills,,
delegation skill,Leadership Skills,,
leadership trait,Leadership Skills,,
leadership skills,Leadership Skills,,
develop * team,Leadership Skills,,
delegate trust,Leadership Skills,,
decision  making,Leadership Skills,,
take initiative,Leadership Skills,,
set goals * team,Leadership Skills,,
delegate * work,Leadership Skills,,
motivate other,Leadership Skills,,
people development,Leadership Skills,,
team work as one,Leadership Skills,,
lead people,Leadership Skills,,
upholding policy,Leadership Skills,,
delegate task,Leadership Skills,,
teamwork,Leadership Skills,,
decision maker,Leadership Skills,,
pass knowledge * others,Leadership Skills,,
team (NEAR) coach,Leadership Skills,,
task (NEAR) delegate,Leadership Skills,,
developing * team,Leadership Skills,,
set the right example,Leadership Skills,,
team leader,Leadership Skills,,
developing team,Leadership Skills,,
team ownership,Leadership Skills,,
helping juniors,Leadership Skills,,
set good example,Leadership Skills,,
develop career plan,Leadership Skills,,
h(AND) * to  junior,Leadership Skills,,
lead* team,Leadership Skills,,
make decision quickly,Leadership Skills,,
organize effectively,Organization Skills,,
allocate resource,Organization Skills,,
disorganised,Organization Skills,,
evaluate progress,Organization Skills,,
detailed person,Organization Skills,,
organized people,Organization Skills,,
manage * project,Organization Skills,,
delivery* on time,Organization Skills,,
manage (NEAR) multiple,Organization Skills,,
manage (NEAR) task,Organization Skills,,
able to plan,Organization Skills,,
prioritize issues,Organization Skills,,
streamline procedures,Organization Skills,,
sensitive (NEAR) priorities,Organization Skills,,
backup plan,Organization Skills,,
plan (AND) ahead of time,Organization Skills,,
detail oriented,Organization Skills,,
plan ahead,Organization Skills,,
get (NEAR) resources,Organization Skills,,
planned tasks,Organization Skills,,
follow-up (NEAR) planning,Organization Skills,,
delegate (NEAR) work,Organization Skills,,
detailed attention,Organization Skills,,
update (NEAR) changes,Organization Skills,,
right person (NEAR) solve,Organization Skills,,
efficiency of managing,Organization Skills,,
internal planning,Organization Skills,,
task (NEAR) document,Organization Skills,,
timeline planning,Organization Skills,,
early preparation,Organization Skills,,
deadline oriented,Sense of Urgency,,
manage (NEAR) work,Organization Skills,,
manage resource,Organization Skills,,
managing (NEAR) task,Organization Skills,,
priorities of case,Organization Skills,,
utilize resource,Organization Skills,,
priorities task,Organization Skills,,
managing (NEAR) plan,Organization Skills,,
succession planning,Organization Skills,,
planner,Organization Skills,,
resource allocation,Organization Skills,,
task distribution,Organization Skills,,
organize (NEAR) work,Organization Skills,,
work planning,Organization Skills,,
manage (NEAR) resource,Organization Skills,,
proper planning,Organization Skills,,
handle resources,Organization Skills,,
priorities management,Organization Skills,,
prioritize task,Organization Skills,,
plan (NEAR) well,Organization Skills,,
provide updates,Communications Skills,,
plan (NEAR) future,Organization Skills,,
within deadlines,Organization Skills,,
keep track (AND) status,Organization Skills,,
important (NEAR) come first,Organization Skills,,
detail oriented person,Organization Skills,,
monitoring the project,Organization Skills,,
engagement skill,Organization Skills,,
resource planning,Organization Skills,,
organizational skill,Organization Skills,,
manage project,Organization Skills,,
check (NEAR) status,Organization Skills,,
check (NEAR) deadline,Organization Skills,,
organise work,Organization Skills,,
prioritise steps,Organization Skills,,
estimate timeline,Organization Skills,,
organized,Organization Skills,,
good manager,Organization Skills,,
attention on details,Organization Skills,,
always available,Organization Skills,,
organize work,Organization Skills,,
managing the project,Organization Skills,,
delegate (NEAR) task,Organization Skills,,
plan (AND) done,Organization Skills,,
manage things,Organization Skills,,
fix problem immediately,Organization Skills,,
prioritize tasks,Organization Skills,,
multitask,Organization Skills,,
prioritize (AND) task,Organization Skills,,
spread the resources,Organization Skills,,
things done on time,Organization Skills,,
manage (NEAR) workload,Organization Skills,,
being organized,Organization Skills,,
set priorities,Organization Skills,,
manage the task,Organization Skills,,
respond to urgent work,Organization Skills,,
lead meeting,Organization Skills,,
monitor (NEAR) project,Organization Skills,,
priorities on work,Organization Skills,,
attention to detail,Organization Skills,,
detail (AND) specific,Organization Skills,,
resourceful,Organization Skills,,
focus on what is the objective,Organization Skills,,
break the tasks,Organization Skills,,
planning,Organization Skills,,
sensitive to details,Organization Skills,,
estimate (NEAR) resource,Organization Skills,,
what need to be done first,Organization Skills,,
delegate work,Organization Skills,,
plan resource,Organization Skills,,
people management,Organization Skills,,
project management,Organization Skills,,
time estimation,Organization Skills,,
project timeline* tight,Organization Skills,,
projects (AND) assign,Organization Skills,,
priorities sorted,Organization Skills,,
prioritize (AND) issue,Organization Skills,,
Provide (NEAR) resource,Organization Skills,,
manage priorities,Organization Skills,,
everything in order,Organization Skills,,
clear instruction,Organization Skills,,
allocating (NEAR) resource,Organization Skills,,
risk planning,Organization Skills,,
system (AND) organizing,Organization Skills,,
follow up,Organization Skills,,
attentive,Organization Skills,,
manage project timeline,Organization Skills,,
assign different task,Organization Skills,,
attentive to details,Organization Skills,,
well organized,Organization Skills,,
prioritise (AND) task,Organization Skills,,
work (AND) prioritise,Organization Skills,,
manage multiple task,Organization Skills,,
manage people,Organization Skills,,
long term outlook,Organization Skills,,
management skill,Organization Skills,,
project planning,Organization Skills,,
distribute tasks,Organization Skills,,
prioritize (AND) important,Organization Skills,,
plan time,Organization Skills,,
break down task,Organization Skills,,
time management,Organization Skills,,
plan (NEAR) ahead,Organization Skills,,
priorities (NEAR) set right,Organization Skills,,
priority management,Organization Skills,,
detailed,Organization Skills,,
focus on the big picture,Organization Skills,,
liaise with his subordinates,Organization Skills,,
implementing checklists,Organization Skills,,
well plan,Organization Skills,,
technical planning,Organization Skills,,
takes care of everything,Organization Skills,,
gives clear instructions,Organization Skills,,
organize,Organization Skills,,
well-organized,Organization Skills,,
plan everything,Organization Skills,,
multitasking,Organization Skills,,
technical foundation,Technical Foundation,,
technical,Technical Foundation,,
skill,Technical Foundation,,
skills,Technical Foundation,,
skillset,Technical Foundation,,
"secures database by developing policies, procedures, and controls.",Database Design and Management,Coding and Programming,
promotes Process Improvement,Database Design and Management,Coding and Programming,
attention to Detail,Database Design and Management,Coding and Programming,
quality Focused,Database Design and Management,Coding and Programming,
maintain high-priority operational systems at a high level of availability,Software Maintenance,Coding and Programming,
resolves problems based on mission criticality and guidance,Software Maintenance,Coding and Programming,
provides systems maintenance/administration to high priority infrastructure systems,Software Maintenance,Coding and Programming,
"detects, isolates, documents, quickly reports, and resolves system outages",Software Maintenance,Coding and Programming,
maintains and updates standard documentation,Software Maintenance,Coding and Programming,
accurately documents problems in logging and discrepancy reporting tools,Software Maintenance,Coding and Programming,
frequently communicates with the customer to help establish requirements and schedules,Software Maintenance,Coding and Programming,
works under pressure in restoring high-priority systems to operations,Software Maintenance,Coding and Programming,
"ability to identify and isolate discrepancies to software, hardware, database, scripts or configurations",Software Maintenance,Coding and Programming,
"ability to modify or create configuration controlled software, test changes to verify requirements, and install builds in a controlled operational environment",Software Maintenance,Coding and Programming,
good communication skill,Software Maintenance,Coding and Programming,
technical troubleshooting,Hardware Maintenance,Coding and Programming,
customer centric,Hardware Maintenance,Coding and Programming,
understand problem statement clearly,Project Management,Project,
set identifiable SMART objective,Project Management,Project,
set identifiable project deliverables,Project Management,Project,
identify stakeholders clearly,Project Management,Project,
manage stakeholders professionally,Project Management,Project,
create understandable work activities ,Project Management,Project,
design understandable schedule with milestones,Project Management,Project,
design understandable budget with details,Project Management,Project,
identify resources needed clearly,Project Management,Project,
resolve issues with open mind,Project Management,Project,
facilitate brainstorming session with democracy,Project Management,Project,
delegate tasks based on strength,Project Management,Project,
volunteer for tasks willingly,Project Management,Project,
guide the team without direct interference,Project Management,Project,
assist teammates selflessly ,Project Management,Project,
set contingency plan diligently,Project Management,Project,
share relevant information openly,Project Management,Project,
